split,position,bucket,baseline_precision,candidate_precision,precision_delta,baseline_recall,candidate_recall,recall_delta,baseline_f1,candidate_f1,f1_delta,review_note
train,QB,QB_TOP12,0.564815,0.555556,-0.009259,0.586538,0.576923,-0.009615,0.575472,0.566038,-0.009434,stable_or_positive
train,RB,RB_TOP12,0.37963,0.37963,0.0,0.43617,0.43617,0.0,0.405941,0.405941,0.0,stable_or_positive
train,RB,RB_TOP24,0.490741,0.476852,-0.013889,0.579235,0.562842,-0.016393,0.531328,0.516291,-0.015037,stable_or_positive
train,TE,TE_TOP12,0.481481,0.490741,0.00926,0.52,0.53,0.01,0.5,0.509615,0.009615,stable_or_positive
train,WR,WR_TOP12,0.444444,0.407407,-0.037037,0.475248,0.435644,-0.039604,0.45933,0.421053,-0.038277,precision_regression_review
train,WR,WR_TOP24,0.523148,0.527778,0.00463,0.582474,0.587629,0.005155,0.55122,0.556098,0.004878,stable_or_positive
train,WR,WR_TOP36,0.564815,0.567901,0.003086,0.628866,0.632302,0.003436,0.595122,0.598374,0.003252,stable_or_positive
validation,QB,QB_TOP12,0.541667,0.541667,0.0,0.565217,0.565217,0.0,0.553191,0.553191,0.0,stable_or_positive
validation,RB,RB_TOP12,0.208333,0.208333,0.0,0.227273,0.227273,0.0,0.217391,0.217391,0.0,stable_or_positive
validation,RB,RB_TOP24,0.5625,0.541667,-0.020833,0.627907,0.604651,-0.023256,0.593407,0.571429,-0.021978,precision_regression_review
validation,TE,TE_TOP12,0.583333,0.583333,0.0,0.608696,0.608696,0.0,0.595745,0.595745,0.0,stable_or_positive
validation,WR,WR_TOP12,0.416667,0.375,-0.041667,0.434783,0.391304,-0.043479,0.425532,0.382979,-0.042553,precision_regression_review
validation,WR,WR_TOP24,0.625,0.625,0.0,0.714286,0.714286,0.0,0.666667,0.666667,0.0,stable_or_positive
validation,WR,WR_TOP36,0.652778,0.666667,0.013889,0.770492,0.786885,0.016393,0.706767,0.721805,0.015038,stable_or_positive
holdout,QB,QB_TOP12,0.541667,0.541667,0.0,0.590909,0.590909,0.0,0.565217,0.565217,0.0,stable_or_positive
holdout,RB,RB_TOP12,0.541667,0.5,-0.041667,0.565217,0.521739,-0.043478,0.553191,0.510638,-0.042553,precision_regression_review
holdout,RB,RB_TOP24,0.604167,0.625,0.020833,0.674419,0.697674,0.023255,0.637363,0.659341,0.021978,stable_or_positive
holdout,TE,TE_TOP12,0.375,0.375,0.0,0.45,0.45,0.0,0.409091,0.409091,0.0,stable_or_positive
holdout,WR,WR_TOP12,0.25,0.291667,0.041667,0.3,0.35,0.05,0.272727,0.318182,0.045455,stable_or_positive
holdout,WR,WR_TOP24,0.479167,0.458333,-0.020834,0.534884,0.511628,-0.023256,0.505495,0.483516,-0.021979,precision_regression_review
holdout,WR,WR_TOP36,0.597222,0.583333,-0.013889,0.671875,0.65625,-0.015625,0.632353,0.617647,-0.014706,stable_or_positive
