candidate_id,split,position,bucket,n_per_season,candidate_predicted_count,actual_bucket_count,true_positive_count,precision,recall,f1,baseline_precision,baseline_recall,baseline_f1,qb_guard_precision,qb_guard_recall,qb_guard_f1,precision_delta_vs_baseline,precision_delta_vs_qb_guard,recall_delta_vs_baseline,recall_delta_vs_qb_guard,f1_delta_vs_baseline,f1_delta_vs_qb_guard,material_regression_vs_baseline
baseline_v3_prior_points,validation,QB,QB_TOP12,12,24,23,13,0.541667,0.565217,0.553191,0.541667,0.565217,0.553191,0.541667,0.565217,0.553191,0.0,0.0,0.0,0.0,0.0,0.0,False
baseline_v3_prior_points,validation,RB,RB_TOP12,12,24,22,5,0.208333,0.227273,0.217391,0.208333,0.227273,0.217391,0.208333,0.227273,0.217391,0.0,0.0,0.0,0.0,0.0,0.0,False
baseline_v3_prior_points,validation,RB,RB_TOP24,24,48,43,27,0.5625,0.627907,0.593407,0.5625,0.627907,0.593407,0.541667,0.604651,0.571429,0.0,0.020833,0.0,0.023256,0.0,0.021978,False
baseline_v3_prior_points,validation,WR,WR_TOP12,12,24,23,10,0.416667,0.434783,0.425532,0.416667,0.434783,0.425532,0.375,0.391304,0.382979,0.0,0.041667,0.0,0.043479,0.0,0.042553,False
baseline_v3_prior_points,validation,WR,WR_TOP24,24,48,42,30,0.625,0.714286,0.666667,0.625,0.714286,0.666667,0.625,0.714286,0.666667,0.0,0.0,0.0,0.0,0.0,0.0,False
baseline_v3_prior_points,validation,WR,WR_TOP36,36,72,61,47,0.652778,0.770492,0.706767,0.652778,0.770492,0.706767,0.666667,0.786885,0.721805,0.0,-0.013889,0.0,-0.016393,0.0,-0.015038,False
baseline_v3_prior_points,validation,TE,TE_TOP12,12,24,23,14,0.583333,0.608696,0.595745,0.583333,0.608696,0.595745,0.583333,0.608696,0.595745,0.0,0.0,0.0,0.0,0.0,0.0,False
original_usage_opportunity_volume,validation,QB,QB_TOP12,12,24,23,13,0.541667,0.565217,0.553191,0.541667,0.565217,0.553191,0.541667,0.565217,0.553191,0.0,0.0,0.0,0.0,0.0,0.0,False
original_usage_opportunity_volume,validation,RB,RB_TOP12,12,24,22,5,0.208333,0.227273,0.217391,0.208333,0.227273,0.217391,0.208333,0.227273,0.217391,0.0,0.0,0.0,0.0,0.0,0.0,False
original_usage_opportunity_volume,validation,RB,RB_TOP24,24,48,43,26,0.541667,0.604651,0.571429,0.5625,0.627907,0.593407,0.541667,0.604651,0.571429,-0.020833,0.0,-0.023256,0.0,-0.021978,0.0,True
original_usage_opportunity_volume,validation,WR,WR_TOP12,12,24,23,9,0.375,0.391304,0.382979,0.416667,0.434783,0.425532,0.375,0.391304,0.382979,-0.041667,0.0,-0.043479,0.0,-0.042553,0.0,True
original_usage_opportunity_volume,validation,WR,WR_TOP24,24,48,42,30,0.625,0.714286,0.666667,0.625,0.714286,0.666667,0.625,0.714286,0.666667,0.0,0.0,0.0,0.0,0.0,0.0,False
original_usage_opportunity_volume,validation,WR,WR_TOP36,36,72,61,48,0.666667,0.786885,0.721805,0.652778,0.770492,0.706767,0.666667,0.786885,0.721805,0.013889,0.0,0.016393,0.0,0.015038,0.0,False
original_usage_opportunity_volume,validation,TE,TE_TOP12,12,24,23,14,0.583333,0.608696,0.595745,0.583333,0.608696,0.595745,0.583333,0.608696,0.595745,0.0,0.0,0.0,0.0,0.0,0.0,False
qb_guard_soft_blend,validation,QB,QB_TOP12,12,24,23,13,0.541667,0.565217,0.553191,0.541667,0.565217,0.553191,0.541667,0.565217,0.553191,0.0,0.0,0.0,0.0,0.0,0.0,False
qb_guard_soft_blend,validation,RB,RB_TOP12,12,24,22,5,0.208333,0.227273,0.217391,0.208333,0.227273,0.217391,0.208333,0.227273,0.217391,0.0,0.0,0.0,0.0,0.0,0.0,False
qb_guard_soft_blend,validation,RB,RB_TOP24,24,48,43,26,0.541667,0.604651,0.571429,0.5625,0.627907,0.593407,0.541667,0.604651,0.571429,-0.020833,0.0,-0.023256,0.0,-0.021978,0.0,True
qb_guard_soft_blend,validation,WR,WR_TOP12,12,24,23,9,0.375,0.391304,0.382979,0.416667,0.434783,0.425532,0.375,0.391304,0.382979,-0.041667,0.0,-0.043479,0.0,-0.042553,0.0,True
qb_guard_soft_blend,validation,WR,WR_TOP24,24,48,42,30,0.625,0.714286,0.666667,0.625,0.714286,0.666667,0.625,0.714286,0.666667,0.0,0.0,0.0,0.0,0.0,0.0,False
qb_guard_soft_blend,validation,WR,WR_TOP36,36,72,61,48,0.666667,0.786885,0.721805,0.652778,0.770492,0.706767,0.666667,0.786885,0.721805,0.013889,0.0,0.016393,0.0,0.015038,0.0,False
qb_guard_soft_blend,validation,TE,TE_TOP12,12,24,23,14,0.583333,0.608696,0.595745,0.583333,0.608696,0.595745,0.583333,0.608696,0.595745,0.0,0.0,0.0,0.0,0.0,0.0,False
conservative_blend_50,validation,QB,QB_TOP12,12,24,23,13,0.541667,0.565217,0.553191,0.541667,0.565217,0.553191,0.541667,0.565217,0.553191,0.0,0.0,0.0,0.0,0.0,0.0,False
conservative_blend_50,validation,RB,RB_TOP12,12,24,22,5,0.208333,0.227273,0.217391,0.208333,0.227273,0.217391,0.208333,0.227273,0.217391,0.0,0.0,0.0,0.0,0.0,0.0,False
conservative_blend_50,validation,RB,RB_TOP24,24,48,43,26,0.541667,0.604651,0.571429,0.5625,0.627907,0.593407,0.541667,0.604651,0.571429,-0.020833,0.0,-0.023256,0.0,-0.021978,0.0,True
conservative_blend_50,validation,WR,WR_TOP12,12,24,23,9,0.375,0.391304,0.382979,0.416667,0.434783,0.425532,0.375,0.391304,0.382979,-0.041667,0.0,-0.043479,0.0,-0.042553,0.0,True
conservative_blend_50,validation,WR,WR_TOP24,24,48,42,31,0.645833,0.738095,0.688889,0.625,0.714286,0.666667,0.625,0.714286,0.666667,0.020833,0.020833,0.023809,0.023809,0.022222,0.022222,False
conservative_blend_50,validation,WR,WR_TOP36,36,72,61,47,0.652778,0.770492,0.706767,0.652778,0.770492,0.706767,0.666667,0.786885,0.721805,0.0,-0.013889,0.0,-0.016393,0.0,-0.015038,False
conservative_blend_50,validation,TE,TE_TOP12,12,24,23,14,0.583333,0.608696,0.595745,0.583333,0.608696,0.595745,0.583333,0.608696,0.595745,0.0,0.0,0.0,0.0,0.0,0.0,False
qb_guard_plus_cutline_blend_50,validation,QB,QB_TOP12,12,24,23,13,0.541667,0.565217,0.553191,0.541667,0.565217,0.553191,0.541667,0.565217,0.553191,0.0,0.0,0.0,0.0,0.0,0.0,False
qb_guard_plus_cutline_blend_50,validation,RB,RB_TOP12,12,24,22,5,0.208333,0.227273,0.217391,0.208333,0.227273,0.217391,0.208333,0.227273,0.217391,0.0,0.0,0.0,0.0,0.0,0.0,False
qb_guard_plus_cutline_blend_50,validation,RB,RB_TOP24,24,48,43,25,0.520833,0.581395,0.549451,0.5625,0.627907,0.593407,0.541667,0.604651,0.571429,-0.041667,-0.020834,-0.046512,-0.023256,-0.043956,-0.021978,True
qb_guard_plus_cutline_blend_50,validation,WR,WR_TOP12,12,24,23,10,0.416667,0.434783,0.425532,0.416667,0.434783,0.425532,0.375,0.391304,0.382979,0.0,0.041667,0.0,0.043479,0.0,0.042553,False
qb_guard_plus_cutline_blend_50,validation,WR,WR_TOP24,24,48,42,29,0.604167,0.690476,0.644444,0.625,0.714286,0.666667,0.625,0.714286,0.666667,-0.020833,-0.020833,-0.02381,-0.02381,-0.022223,-0.022223,True
qb_guard_plus_cutline_blend_50,validation,WR,WR_TOP36,36,72,61,48,0.666667,0.786885,0.721805,0.652778,0.770492,0.706767,0.666667,0.786885,0.721805,0.013889,0.0,0.016393,0.0,0.015038,0.0,False
