stable_player_id,player_name,position,team,feature_anchor_season,prediction_anchor,player_id_sleeper,player_id_gsis,feature_join_status,candidate_feature_ready,missing_required_features,prior_carries,prior_games,prior_interceptions,prior_nwr_points,prior_nwr_ppg,prior_opportunities,prior_passing_attempts,prior_passing_completions,prior_passing_first_downs,prior_passing_td,prior_passing_yards,prior_receiving_first_downs,prior_receiving_yards,prior_receptions,prior_rushing_first_downs,prior_rushing_yards,prior_targets,prior_touches,feature_source_artifact,join_method,review_only,candidate_rank_output_present,production_approved,app_wiring_allowed,model_use_allowed,source_truth_allowed
9493,Puka Nacua,WR,LAR,2025,2026_current_board_shadow_review,9493,00-0039075,EXACT_SLEEPER_MATCH_2025_USAGE,false,prior_games;prior_nwr_points;prior_nwr_ppg,10,,0,,,176,0,0,0,0,0,80,1715,129,5,105,166,139,docs/hq/data_sources/nflverse_core_usage_review_dataset_v1_20260701/nwr_nflverse_usage_review_dataset_v1.parquet,stable_player_id_to_player_id_sleeper_exact,true,false,false,false,false,false
9488,Jaxon Smith-Njigba,WR,SEA,2025,2026_current_board_shadow_review,9488,00-0038543,EXACT_SLEEPER_MATCH_2025_USAGE,false,prior_games;prior_nwr_points;prior_nwr_ppg,7,,0,,,170,0,0,0,0,0,81,1793,119,2,36,163,126,docs/hq/data_sources/nflverse_core_usage_review_dataset_v1_20260701/nwr_nflverse_usage_review_dataset_v1.parquet,stable_player_id_to_player_id_sleeper_exact,true,false,false,false,false,false
9509,Bijan Robinson,RB,ATL,2025,2026_current_board_shadow_review,9509,00-0038542,EXACT_SLEEPER_MATCH_2025_USAGE,false,prior_games;prior_nwr_points;prior_nwr_ppg,287,,0,,,390,0,0,0,0,0,34,820,79,67,1478,103,366,docs/hq/data_sources/nflverse_core_usage_review_dataset_v1_20260701/nwr_nflverse_usage_review_dataset_v1.parquet,stable_player_id_to_player_id_sleeper_exact,true,false,false,false,false,false
6813,Jonathan Taylor,RB,IND,2025,2026_current_board_shadow_review,6813,00-0036223,EXACT_SLEEPER_MATCH_2025_USAGE,false,prior_games;prior_nwr_points;prior_nwr_ppg,323,,0,,,378,0,0,0,0,0,15,378,46,88,1585,55,369,docs/hq/data_sources/nflverse_core_usage_review_dataset_v1_20260701/nwr_nflverse_usage_review_dataset_v1.parquet,stable_player_id_to_player_id_sleeper_exact,true,false,false,false,false,false
9221,Jahmyr Gibbs,RB,DET,2025,2026_current_board_shadow_review,9221,00-0039139,EXACT_SLEEPER_MATCH_2025_USAGE,false,prior_games;prior_nwr_points;prior_nwr_ppg,243,,0,,,337,0,0,0,0,0,28,616,77,58,1223,94,320,docs/hq/data_sources/nflverse_core_usage_review_dataset_v1_20260701/nwr_nflverse_usage_review_dataset_v1.parquet,stable_player_id_to_player_id_sleeper_exact,true,false,false,false,false,false
7564,Ja'Marr Chase,WR,CIN,2025,2026_current_board_shadow_review,7564,00-0036900,EXACT_SLEEPER_MATCH_2025_USAGE,false,prior_games;prior_nwr_points;prior_nwr_ppg,3,,0,,,188,0,0,0,0,0,73,1412,125,0,14,185,128,docs/hq/data_sources/nflverse_core_usage_review_dataset_v1_20260701/nwr_nflverse_usage_review_dataset_v1.parquet,stable_player_id_to_player_id_sleeper_exact,true,false,false,false,false,false
7547,Amon-Ra St. Brown,WR,DET,2025,2026_current_board_shadow_review,7547,00-0036963,EXACT_SLEEPER_MATCH_2025_USAGE,false,prior_games;prior_nwr_points;prior_nwr_ppg,3,,0,,,175,0,0,0,0,0,72,1401,117,1,9,172,120,docs/hq/data_sources/nflverse_core_usage_review_dataset_v1_20260701/nwr_nflverse_usage_review_dataset_v1.parquet,stable_player_id_to_player_id_sleeper_exact,true,false,false,false,false,false
8130,Trey McBride,TE,ARI,2025,2026_current_board_shadow_review,8130,00-0037744,EXACT_SLEEPER_MATCH_2025_USAGE,false,prior_games;prior_nwr_points;prior_nwr_ppg,0,,0,,,169,0,0,0,0,0,63,1239,126,0,0,169,126,docs/hq/data_sources/nflverse_core_usage_review_dataset_v1_20260701/nwr_nflverse_usage_review_dataset_v1.parquet,stable_player_id_to_player_id_sleeper_exact,true,false,false,false,false,false
9226,De'Von Achane,RB,MIA,2025,2026_current_board_shadow_review,9226,00-0039040,EXACT_SLEEPER_MATCH_2025_USAGE,false,prior_games;prior_nwr_points;prior_nwr_ppg,238,,0,,,323,0,0,0,0,0,23,488,67,57,1350,85,305,docs/hq/data_sources/nflverse_core_usage_review_dataset_v1_20260701/nwr_nflverse_usage_review_dataset_v1.parquet,stable_player_id_to_player_id_sleeper_exact,true,false,false,false,false,false
8137,George Pickens,WR,DAL,2025,2026_current_board_shadow_review,8137,00-0037247,EXACT_SLEEPER_MATCH_2025_USAGE,false,prior_games;prior_nwr_points;prior_nwr_ppg,0,,0,,,137,0,0,0,0,0,73,1429,93,0,0,137,93,docs/hq/data_sources/nflverse_core_usage_review_dataset_v1_20260701/nwr_nflverse_usage_review_dataset_v1.parquet,stable_player_id_to_player_id_sleeper_exact,true,false,false,false,false,false
