source_family,current_local_authority,rights_terms,seasons,grain,identity,revisions,historical_as_of,missingness,model_eligibility,phase_1b_action
nflverse player and team stats,EXACT_HASHED_LOCAL_SNAPSHOT,PARTIAL_VERIFIED,2024-2025,player-team-season plus team-week-game,player_id or team,ROLLING_UPSTREAM_IMMUTABLE_LOCAL,SEASON_END_ONLY,SEASONAL_MIXED_SCHEMA_FULL_QUARANTINE,NOT_ADMITTED_PHASE_2_MUST_REASSESS,Phase 1B quarantined seasonal and validated team grain
weekly player stats,EXACT_HASHED_LOCAL_SNAPSHOT,VERIFIED_CC_BY_4_0,2024-2025,player-team-game-week,EXACT_PLAYER_ID,ROLLING_UPSTREAM_IMMUTABLE_LOCAL,POST_GAME_ONLY,DERIVED_SCHEMA_RECEIPT_WITH_88_IDENTITY_BLOCKS,NOT_ADMITTED_PHASE_2_MUST_REASSESS,Phase 1B deterministic derived hygiene receipt
play-by-play,EXACT_HASHED_LOCAL_SNAPSHOT,UNKNOWN_REQUIRES_OWNER_OR_SOURCE_CONFIRMATION,2024-2025,play,ROLE_SPECIFIC_PLAYER_IDS,ROLLING_UPSTREAM_IMMUTABLE_LOCAL,POST_GAME_CORRECTION_HISTORY_UNKNOWN,SPARSE_ROLE_IDS_AND_QUARANTINED_FIELDS,NOT_ADMITTED_BLOCKED_RIGHTS_AND_TEMPORAL,Fail closed
players and IDs,EXACT_HASHED_LOCAL_SNAPSHOT,PARTIAL_VERIFIED,1970-2026 metadata,player identity,GSIS_PRIMARY_MULTI_PROVIDER,ROLLING_CROSSWALKS,CURRENT_FIELDS_NOT_HISTORICAL,CROSSWALK_COLLISIONS,IDENTITY_ONLY_NOT_ADMITTED,Phase 1B exact collisions blocked and name fallback prohibited
rosters,EXACT_HASHED_LOCAL_SNAPSHOT,VERIFIED_CC_BY_4_0,2024-2025,player-team-season or week,GSIS_PRIMARY,ROLLING_UPSTREAM_IMMUTABLE_LOCAL,RECORDED_SEASON_WEEK_ONLY,ABSENCE_NOT_INACTIVE,NOT_ADMITTED_CANDIDATE_AFTER_PHASE_1B,Harden duplicates and semantics
schedules,EXACT_HASHED_LOCAL_SNAPSHOT,UNKNOWN_REQUIRES_OWNER_OR_SOURCE_CONFIRMATION,2024-2025,game,GAME_ID_TEAM_KEYS,ROLLING_UPSTREAM_IMMUTABLE_LOCAL,NO_PRE_GAME_SNAPSHOT_AUTHORITY,RESULT_AND_MARKET_LEAKAGE_RISK,NOT_ADMITTED_BLOCKED_RIGHTS_AND_TEMPORAL,Fail closed
snap counts,EXACT_HASHED_LOCAL_SNAPSHOT,VERIFIED_CC_BY_4_0,2024-2025,player-game-week,PFR_PLAYER_ID_REQUIRES_CROSSWALK,ROLLING_UPSTREAM_IMMUTABLE_LOCAL,POST_GAME_ONLY,MISSING_JOIN_NOT_ZERO,NOT_ADMITTED_CANDIDATE_AFTER_PHASE_1B,Harden identity bridge
injuries,EXACT_HASHED_LOCAL_SNAPSHOT,VERIFIED_CC_BY_4_0,2024-2025,player-report-week,GSIS_ID,INTRA_WEEK_REVISIONS,REPORT_TIME_ONLY,ABSENCE_NOT_HEALTHY,FACTUAL_CONTEXT_ONLY_NOT_ADMITTED,Harden report timestamps
depth charts,EXACT_HASHED_LOCAL_SNAPSHOT,VERIFIED_CC_BY_4_0,2024,dual NFL and ESPN composite grains,GSIS_ID_OR_EXACT_ESPN_ID,ROLLING_UPSTREAM_IMMUTABLE_LOCAL,RECORDED_WEEK_ONLY,207_EXACT_DUPLICATES_AND_445_MISSING_NAMES_QUARANTINED,NOT_ADMITTED_PHASE_2_MUST_REASSESS,Phase 1B validated dual grain fail closed
participation,EXACT_HASHED_LOCAL_SNAPSHOT,VERIFIED_CC_BY_SA_4_0,UNKNOWN_IN_COLUMNS,play participation,GSIS_LISTS_IN_PLAY_ROWS,ROLLING_UPSTREAM_IMMUTABLE_LOCAL,SEASON_END_PUBLICATION,NO_PLAYER_SCALAR_GRAIN,NOT_ADMITTED_BLOCKED_TEMPORAL_AND_GRAIN,Preserve attribution and fail closed
FTN public subset,EXACT_HASHED_LOCAL_SNAPSHOT,UNKNOWN_REQUIRES_OWNER_OR_SOURCE_CONFIRMATION,2024-2025,charted play,PLAY_IDS_NO_PLAYER_ID,ROLLING_UPSTREAM_IMMUTABLE_LOCAL,RETRIEVAL_DATE_ONLY,PLAYER_IDENTITY_ABSENT,NOT_ADMITTED_BLOCKED_RIGHTS_IDENTITY_AND_TEMPORAL,Owner/source confirmation required
